id,232
photo,210207.jpg
web_name,Diabaté
team_code,13
status,u
code,210207
first_name,Fousseni
second_name,Diabaté
squad_number,27
news,Season-long loan to Sivasspor
now_cost,46
news_added,2019-01-10T10:31:17Z
chance_of_playing_this_round,0
chance_of_playing_next_round,0
value_form,0.0
value_season,0.2
cost_change_start,-4
cost_change_event,0
cost_change_start_fall,4
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,0.0
form,0.0
transfers_out,3522
transfers_in,1155
transfers_out_event,1
transfers_in_event,0
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,1
event_points,0
points_per_game,1.0
ep_this,0.0
ep_next,0.0
special,False
minutes,54
goals_scored,0
assists,0
clean_sheets,0
goals_conceded,1
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,0
red_cards,0
saves,0
bonus,0
bps,4
influence,7.4
creativity,15.8
threat,0.0
ict_index,2.3
ea_index,0
element_type,3
team,11
