id,319
photo,28147.jpg
web_name,Diamé
team_code,4
status,a
code,28147
first_name,Mohamed
second_name,Diamé
squad_number,10
news,
now_cost,48
news_added,2019-01-02T23:31:17Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.1
value_season,9.8
cost_change_start,-2
cost_change_event,0
cost_change_start_fall,2
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,0.1
form,0.6
transfers_out,8497
transfers_in,5378
transfers_out_event,7
transfers_in_event,9
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,47
event_points,1
points_per_game,2.0
ep_this,0.6
ep_next,0.6
special,False
minutes,1880
goals_scored,0
assists,0
clean_sheets,6
goals_conceded,28
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,3
red_cards,0
saves,0
bonus,0
bps,176
influence,263.8
creativity,72.9
threat,162.0
ict_index,50.1
ea_index,0
element_type,3
team,15
