id,484
photo,101188.jpg
web_name,Digne
team_code,11
status,a
code,101188
first_name,Lucas
second_name,Digne
squad_number,12
news,
now_cost,52
news_added,2019-01-29T22:01:22Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.3
value_season,17.7
cost_change_start,2
cost_change_event,0
cost_change_start_fall,-2
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,2
selected_by_percent,7.4
form,1.6
transfers_out,999335
transfers_in,1238532
transfers_out_event,1445
transfers_in_event,826
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,92
event_points,0
points_per_game,3.7
ep_this,0.6
ep_next,1.6
special,False
minutes,2070
goals_scored,3
assists,3
clean_sheets,6
goals_conceded,31
own_goals,1
penalties_saved,0
penalties_missed,0
yellow_cards,4
red_cards,1
saves,0
bonus,12
bps,470
influence,613.8
creativity,749.6
threat,215.0
ict_index,157.8
ea_index,0
element_type,2
team,8
