id,390
photo,121599.jpg
web_name,Doucouré
team_code,57
status,a
code,121599
first_name,Abdoulaye
second_name,Doucouré
squad_number,16
news,
now_cost,59
news_added,2019-01-19T17:31:20Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.4
value_season,15.4
cost_change_start,-1
cost_change_event,0
cost_change_start_fall,1
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,1
selected_by_percent,1.3
form,2.2
transfers_out,275803
transfers_in,226387
transfers_out_event,187
transfers_in_event,101
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,91
event_points,0
points_per_game,3.6
ep_this,2.2
ep_next,1.2
special,False
minutes,2161
goals_scored,3
assists,6
clean_sheets,5
goals_conceded,37
own_goals,1
penalties_saved,0
penalties_missed,0
yellow_cards,3
red_cards,0
saves,0
bonus,10
bps,398
influence,529.8
creativity,380.0
threat,455.0
ict_index,136.5
ea_index,0
element_type,3
team,18
