id,309
photo,67089.jpg
web_name,Dubravka
team_code,4
status,a
code,67089
first_name,Martin
second_name,Dubravka
squad_number,12
news,
now_cost,50
news_added,2018-08-11T11:31:12Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.7
value_season,21.0
cost_change_start,0
cost_change_event,0
cost_change_start_fall,0
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,1.0
form,3.6
transfers_out,45116
transfers_in,72942
transfers_out_event,280
transfers_in_event,327
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,105
event_points,0
points_per_game,3.6
ep_this,3.6
ep_next,3.6
special,False
minutes,2610
goals_scored,0
assists,0
clean_sheets,9
goals_conceded,36
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,1
red_cards,0
saves,82
bonus,8
bps,516
influence,654.0
creativity,0.0
threat,0.0
ict_index,65.4
ea_index,0
element_type,1
team,15
