id,49
photo,61933.jpg
web_name,Duffy
team_code,36
status,a
code,61933
first_name,Shane
second_name,Duffy
squad_number,4
news,
now_cost,47
news_added,2018-12-04T22:01:16Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,1.2
value_season,20.6
cost_change_start,2
cost_change_event,0
cost_change_start_fall,-2
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,4
selected_by_percent,6.1
form,5.8
transfers_out,501700
transfers_in,683134
transfers_out_event,1175
transfers_in_event,2279
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,97
event_points,9
points_per_game,3.9
ep_this,5.8
ep_next,5.8
special,False
minutes,2187
goals_scored,5
assists,2
clean_sheets,6
goals_conceded,36
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,4
red_cards,1
saves,0
bonus,9
bps,446
influence,760.2
creativity,51.1
threat,408.0
ict_index,122.1
ea_index,0
element_type,2
team,3
