id,313
photo,106618.jpg
web_name,Dummett
team_code,4
status,a
code,106618
first_name,Paul
second_name,Dummett
squad_number,3
news,
now_cost,44
news_added,2019-01-11T15:01:19Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.1
value_season,10.7
cost_change_start,-1
cost_change_event,0
cost_change_start_fall,1
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,1
selected_by_percent,0.1
form,0.4
transfers_out,19962
transfers_in,14044
transfers_out_event,14
transfers_in_event,5
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,47
event_points,1
points_per_game,2.8
ep_this,0.4
ep_next,0.4
special,False
minutes,1296
goals_scored,0
assists,0
clean_sheets,5
goals_conceded,17
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,0
red_cards,0
saves,0
bonus,3
bps,248
influence,274.4
creativity,76.3
threat,31.0
ict_index,38.2
ea_index,0
element_type,2
team,15
