id,92
photo,49382.jpg
web_name,Ecuele Manga
team_code,97
status,a
code,49382
first_name,Bruno
second_name,Ecuele Manga
squad_number,5
news,
now_cost,44
news_added,None
chance_of_playing_this_round,None
chance_of_playing_next_round,None
value_form,0.5
value_season,15.9
cost_change_start,-1
cost_change_event,0
cost_change_start_fall,1
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,0.4
form,2.2
transfers_out,19113
transfers_in,31836
transfers_out_event,208
transfers_in_event,35
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,70
event_points,1
points_per_game,2.4
ep_this,1.7
ep_next,1.7
special,False
minutes,2565
goals_scored,0
assists,1
clean_sheets,7
goals_conceded,55
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,0
red_cards,0
saves,0
bonus,2
bps,433
influence,512.6
creativity,103.7
threat,104.0
ict_index,72.3
ea_index,0
element_type,2
team,5
