id,16
photo,153256.jpg
web_name,Elneny
team_code,3
status,a
code,153256
first_name,Mohamed
second_name,Elneny
squad_number,4
news,
now_cost,42
news_added,2018-10-31T10:31:13Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.0
value_season,1.0
cost_change_start,-3
cost_change_event,0
cost_change_start_fall,3
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,2.3
form,0.2
transfers_out,193191
transfers_in,121237
transfers_out_event,288
transfers_in_event,159
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,4
event_points,0
points_per_game,1.0
ep_this,-0.3
ep_next,0.2
special,False
minutes,152
goals_scored,0
assists,0
clean_sheets,0
goals_conceded,1
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,0
red_cards,0
saves,0
bonus,0
bps,13
influence,38.4
creativity,16.8
threat,51.0
ict_index,10.6
ea_index,0
element_type,3
team,1
