id,364
photo,80607.jpg
web_name,Eriksen
team_code,6
status,a
code,80607
first_name,Christian
second_name,Eriksen
squad_number,23
news,
now_cost,93
news_added,2018-09-27T12:31:15Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.5
value_season,12.2
cost_change_start,-2
cost_change_event,0
cost_change_start_fall,2
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,2
selected_by_percent,5.9
form,4.4
transfers_out,1275928
transfers_in,684814
transfers_out_event,2216
transfers_in_event,680
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,113
event_points,2
points_per_game,4.3
ep_this,4.9
ep_next,5.9
special,False
minutes,1960
goals_scored,5
assists,9
clean_sheets,5
goals_conceded,28
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,2
red_cards,0
saves,0
bonus,11
bps,471
influence,597.6
creativity,732.5
threat,487.0
ict_index,182.0
ea_index,0
element_type,3
team,17
