id,222
photo,37642.jpg
web_name,Evans
team_code,13
status,a
code,37642
first_name,Jonny
second_name,Evans
squad_number,6
news,
now_cost,48
news_added,2019-01-11T15:31:18Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.5
value_season,10.2
cost_change_start,-2
cost_change_event,0
cost_change_start_fall,2
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,0.4
form,2.4
transfers_out,27641
transfers_in,24955
transfers_out_event,77
transfers_in_event,202
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,49
event_points,0
points_per_game,3.1
ep_this,2.4
ep_next,2.9
special,False
minutes,1273
goals_scored,1
assists,0
clean_sheets,5
goals_conceded,19
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,2
red_cards,0
saves,0
bonus,1
bps,259
influence,277.8
creativity,50.5
threat,129.0
ict_index,45.8
ea_index,0
element_type,2
team,11
