id,400
photo,37096.jpg
web_name,Fabianski
team_code,21
status,a
code,37096
first_name,Lukasz
second_name,Fabianski
squad_number,1
news,
now_cost,47
news_added,2019-02-01T00:01:20Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.8
value_season,24.0
cost_change_start,2
cost_change_event,0
cost_change_start_fall,-2
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,3
selected_by_percent,17.2
form,3.6
transfers_out,734899
transfers_in,781710
transfers_out_event,677
transfers_in_event,4737
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,113
event_points,6
points_per_game,3.9
ep_this,3.6
ep_next,4.1
special,False
minutes,2610
goals_scored,0
assists,0
clean_sheets,5
goals_conceded,41
own_goals,0
penalties_saved,1
penalties_missed,0
yellow_cards,0
red_cards,0
saves,112
bonus,13
bps,566
influence,849.0
creativity,10.0
threat,0.0
ict_index,85.7
ea_index,0
element_type,1
team,19
