id,383
photo,54484.jpg
web_name,Kiko Femenía
team_code,57
status,d
code,54484
first_name,Francisco
second_name,Femenía Far
squad_number,21
news,Illness - 75% chance of playing
now_cost,42
news_added,2019-01-19T17:31:20Z
chance_of_playing_this_round,75
chance_of_playing_next_round,75
value_form,0.0
value_season,11.9
cost_change_start,-3
cost_change_event,0
cost_change_start_fall,3
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,1
selected_by_percent,0.8
form,0.0
transfers_out,179551
transfers_in,191097
transfers_out_event,245
transfers_in_event,3
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,50
event_points,0
points_per_game,2.5
ep_this,0.0
ep_next,-0.8
special,False
minutes,1390
goals_scored,0
assists,1
clean_sheets,4
goals_conceded,24
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,1
red_cards,0
saves,0
bonus,6
bps,299
influence,291.2
creativity,176.4
threat,29.0
ict_index,49.6
ea_index,0
element_type,2
team,18
