id,440
photo,209362.jpg
web_name,Bernardo
team_code,36
status,a
code,209362
first_name,Bernardo
second_name,Fernandes da Silva Junior
squad_number,30
news,
now_cost,42
news_added,2019-01-03T00:01:17Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.4
value_season,6.7
cost_change_start,-3
cost_change_event,0
cost_change_start_fall,3
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,0.1
form,1.5
transfers_out,15307
transfers_in,9066
transfers_out_event,7
transfers_in_event,17
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,28
event_points,6
points_per_game,2.3
ep_this,1.5
ep_next,1.5
special,False
minutes,994
goals_scored,0
assists,1
clean_sheets,2
goals_conceded,13
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,2
red_cards,0
saves,0
bonus,0
bps,171
influence,244.2
creativity,106.1
threat,39.0
ict_index,39.0
ea_index,0
element_type,2
team,3
