id,516
photo,57145.jpg
web_name,Fernández
team_code,4
status,a
code,57145
first_name,Federico
second_name,Fernández
squad_number,18
news,
now_cost,44
news_added,2018-12-29T16:31:16Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.0
value_season,9.5
cost_change_start,-1
cost_change_event,0
cost_change_start_fall,1
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,0.2
form,0.0
transfers_out,40783
transfers_in,37272
transfers_out_event,26
transfers_in_event,2
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,42
event_points,0
points_per_game,2.8
ep_this,0.0
ep_next,0.0
special,False
minutes,1260
goals_scored,0
assists,2
clean_sheets,3
goals_conceded,21
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,2
red_cards,0
saves,0
bonus,5
bps,244
influence,313.8
creativity,52.5
threat,68.0
ict_index,43.5
ea_index,0
element_type,2
team,15
