id,511
photo,201084.jpg
web_name,Fosu-Mensah
team_code,54
status,a
code,201084
first_name,Timothy
second_name,Fosu-Mensah
squad_number,21
news,
now_cost,45
news_added,2019-02-06T01:31:23Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.0
value_season,0.9
cost_change_start,0
cost_change_event,0
cost_change_start_fall,0
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,0.3
form,0.2
transfers_out,38604
transfers_in,9332
transfers_out_event,18
transfers_in_event,4
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,4
event_points,0
points_per_game,0.4
ep_this,-0.8
ep_next,-0.3
special,False
minutes,564
goals_scored,0
assists,0
clean_sheets,0
goals_conceded,15
own_goals,1
penalties_saved,0
penalties_missed,0
yellow_cards,3
red_cards,0
saves,0
bonus,0
bps,68
influence,73.8
creativity,88.3
threat,28.0
ict_index,18.9
ea_index,0
element_type,2
team,9
