id,549
photo,234908.jpg
web_name,Foyth
team_code,6
status,a
code,234908
first_name,Juan
second_name,Foyth
squad_number,21
news,
now_cost,50
news_added,2018-12-07T16:31:16Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.0
value_season,5.2
cost_change_start,0
cost_change_event,0
cost_change_start_fall,0
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,1
selected_by_percent,0.2
form,0.2
transfers_out,52728
transfers_in,58285
transfers_out_event,30
transfers_in_event,6
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,26
event_points,0
points_per_game,3.7
ep_this,0.7
ep_next,1.7
special,False
minutes,615
goals_scored,1
assists,0
clean_sheets,2
goals_conceded,9
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,2
red_cards,0
saves,0
bonus,3
bps,116
influence,181.0
creativity,5.8
threat,46.0
ict_index,23.4
ea_index,0
element_type,2
team,17
