id,40
photo,90105.jpg
web_name,Fraser
team_code,91
status,a
code,90105
first_name,Ryan
second_name,Fraser
squad_number,24
news,
now_cost,61
news_added,2019-01-11T10:01:18Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.4
value_season,21.0
cost_change_start,6
cost_change_event,0
cost_change_start_fall,-6
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,4
selected_by_percent,19.7
form,2.2
transfers_out,2121137
transfers_in,3092413
transfers_out_event,4122
transfers_in_event,7399
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,128
event_points,2
points_per_game,4.4
ep_this,1.2
ep_next,2.7
special,False
minutes,2378
goals_scored,5
assists,9
clean_sheets,6
goals_conceded,49
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,1
red_cards,0
saves,0
bonus,15
bps,532
influence,648.8
creativity,934.0
threat,483.0
ict_index,207.0
ea_index,0
element_type,3
team,2
