id,408
photo,81012.jpg
web_name,Fredericks
team_code,21
status,a
code,81012
first_name,Ryan
second_name,Fredericks
squad_number,24
news,
now_cost,45
news_added,2018-11-10T19:31:14Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.6
value_season,3.6
cost_change_start,-5
cost_change_event,0
cost_change_start_fall,5
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,1
selected_by_percent,0.2
form,2.8
transfers_out,29060
transfers_in,3413
transfers_out_event,8
transfers_in_event,89
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,16
event_points,8
points_per_game,1.8
ep_this,2.8
ep_next,3.3
special,False
minutes,685
goals_scored,0
assists,0
clean_sheets,1
goals_conceded,11
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,3
red_cards,0
saves,0
bonus,2
bps,86
influence,137.8
creativity,60.6
threat,31.0
ict_index,23.1
ea_index,0
element_type,2
team,19
