id,459
photo,85955.jpg
web_name,Jorginho
team_code,8
status,a
code,85955
first_name,Jorge Luiz
second_name,Frello Filho
squad_number,5
news,
now_cost,46
news_added,None
chance_of_playing_this_round,None
chance_of_playing_next_round,None
value_form,0.4
value_season,14.1
cost_change_start,-4
cost_change_event,0
cost_change_start_fall,4
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,5.6
form,1.8
transfers_out,945651
transfers_in,686808
transfers_out_event,464
transfers_in_event,471
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,65
event_points,0
points_per_game,2.5
ep_this,2.8
ep_next,2.3
special,False
minutes,2252
goals_scored,1
assists,0
clean_sheets,12
goals_conceded,27
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,5
red_cards,0
saves,0
bonus,1
bps,401
influence,480.0
creativity,419.2
threat,73.0
ict_index,97.3
ea_index,0
element_type,3
team,6
