id,216
photo,37402.jpg
web_name,Fuchs
team_code,13
status,a
code,37402
first_name,Christian
second_name,Fuchs
squad_number,28
news,
now_cost,41
news_added,None
chance_of_playing_this_round,None
chance_of_playing_next_round,None
value_form,0.0
value_season,0.5
cost_change_start,-4
cost_change_event,0
cost_change_start_fall,4
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,0.4
form,0.0
transfers_out,36869
transfers_in,8007
transfers_out_event,15
transfers_in_event,18
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,2
event_points,0
points_per_game,1.0
ep_this,0.0
ep_next,0.5
special,False
minutes,180
goals_scored,0
assists,0
clean_sheets,0
goals_conceded,5
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,0
red_cards,0
saves,0
bonus,0
bps,35
influence,44.2
creativity,85.4
threat,14.0
ict_index,14.3
ea_index,0
element_type,2
team,11
