id,123
photo,17878.jpg
web_name,Fàbregas
team_code,8
status,u
code,17878
first_name,Cesc
second_name,Fàbregas
squad_number,4
news,Signed for Monaco on a permanent deal
now_cost,62
news_added,2019-01-05T21:01:16Z
chance_of_playing_this_round,0
chance_of_playing_next_round,0
value_form,0.0
value_season,1.0
cost_change_start,-3
cost_change_event,0
cost_change_start_fall,3
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,0.3
form,0.0
transfers_out,59747
transfers_in,4860
transfers_out_event,15
transfers_in_event,0
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,6
event_points,0
points_per_game,1.0
ep_this,0.0
ep_next,0.0
special,False
minutes,175
goals_scored,0
assists,0
clean_sheets,0
goals_conceded,2
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,1
red_cards,0
saves,0
bonus,0
bps,36
influence,37.0
creativity,58.5
threat,14.0
ict_index,10.9
ea_index,0
element_type,3
team,6
