id,536
photo,102884.jpg
web_name,Gazzaniga
team_code,6
status,a
code,102884
first_name,Paulo
second_name,Gazzaniga
squad_number,22
news,
now_cost,45
news_added,None
chance_of_playing_this_round,None
chance_of_playing_next_round,None
value_form,0.0
value_season,2.2
cost_change_start,0
cost_change_event,0
cost_change_start_fall,0
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,0.0
form,0.0
transfers_out,7338
transfers_in,7748
transfers_out_event,7
transfers_in_event,1
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,10
event_points,0
points_per_game,5.0
ep_this,0.5
ep_next,1.5
special,False
minutes,180
goals_scored,0
assists,0
clean_sheets,1
goals_conceded,1
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,0
red_cards,0
saves,8
bonus,0
bps,48
influence,55.6
creativity,0.0
threat,0.0
ict_index,5.5
ea_index,0
element_type,1
team,17
