id,448
photo,222531.jpg
web_name,Gibbs-White
team_code,39
status,a
code,222531
first_name,Morgan
second_name,Gibbs-White
squad_number,17
news,
now_cost,43
news_added,None
chance_of_playing_this_round,None
chance_of_playing_next_round,None
value_form,0.2
value_season,6.7
cost_change_start,-2
cost_change_event,0
cost_change_start_fall,2
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,0.6
form,0.8
transfers_out,63361
transfers_in,71236
transfers_out_event,101
transfers_in_event,56
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,29
event_points,3
points_per_game,1.4
ep_this,1.3
ep_next,0.3
special,False
minutes,536
goals_scored,0
assists,1
clean_sheets,3
goals_conceded,10
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,1
red_cards,0
saves,0
bonus,0
bps,77
influence,53.2
creativity,124.8
threat,56.0
ict_index,23.2
ea_index,0
element_type,3
team,20
