id,133
photo,44346.jpg
web_name,Giroud
team_code,8
status,a
code,44346
first_name,Olivier
second_name,Giroud
squad_number,18
news,
now_cost,77
news_added,2018-12-30T17:01:16Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.0
value_season,5.6
cost_change_start,-3
cost_change_event,0
cost_change_start_fall,3
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,1.8
form,0.3
transfers_out,216609
transfers_in,93818
transfers_out_event,87
transfers_in_event,55
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,43
event_points,0
points_per_game,2.1
ep_this,1.3
ep_next,0.8
special,False
minutes,657
goals_scored,1
assists,4
clean_sheets,5
goals_conceded,4
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,1
red_cards,0
saves,0
bonus,2
bps,130
influence,146.0
creativity,224.3
threat,326.0
ict_index,68.6
ea_index,0
element_type,4
team,6
