id,242
photo,171287.jpg
web_name,Gomez
team_code,14
status,i
code,171287
first_name,Joseph
second_name,Gomez
squad_number,12
news,Leg injury - Expected back 10 Mar
now_cost,48
news_added,2018-12-05T23:01:16Z
chance_of_playing_this_round,0
chance_of_playing_next_round,0
value_form,0.0
value_season,10.8
cost_change_start,-2
cost_change_event,0
cost_change_start_fall,2
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,1.0
form,0.0
transfers_out,341829
transfers_in,343802
transfers_out_event,60
transfers_in_event,8
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,52
event_points,0
points_per_game,4.0
ep_this,0.0
ep_next,0.0
special,False
minutes,1047
goals_scored,0
assists,0
clean_sheets,7
goals_conceded,4
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,2
red_cards,0
saves,0
bonus,2
bps,259
influence,208.6
creativity,91.8
threat,44.0
ict_index,34.5
ea_index,0
element_type,2
team,12
