id,37
photo,40387.jpg
web_name,Gosling
team_code,91
status,a
code,40387
first_name,Dan
second_name,Gosling
squad_number,4
news,
now_cost,47
news_added,2019-01-09T14:31:17Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.4
value_season,8.1
cost_change_start,-3
cost_change_event,0
cost_change_start_fall,3
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,0.1
form,2.0
transfers_out,8432
transfers_in,6035
transfers_out_event,18
transfers_in_event,34
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,38
event_points,0
points_per_game,1.9
ep_this,1.0
ep_next,2.5
special,False
minutes,1354
goals_scored,0
assists,2
clean_sheets,3
goals_conceded,26
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,5
red_cards,0
saves,0
bonus,0
bps,172
influence,251.8
creativity,115.3
threat,155.0
ict_index,52.1
ea_index,0
element_type,3
team,2
