id,395
photo,73426.jpg
web_name,Gray
team_code,57
status,a
code,73426
first_name,Andre
second_name,Gray
squad_number,18
news,
now_cost,59
news_added,2018-12-10T19:31:18Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.3
value_season,7.6
cost_change_start,-1
cost_change_event,0
cost_change_start_fall,1
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,0.5
form,2.0
transfers_out,143049
transfers_in,125526
transfers_out_event,54
transfers_in_event,41
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,45
event_points,0
points_per_game,2.4
ep_this,2.0
ep_next,1.0
special,False
minutes,800
goals_scored,4
assists,0
clean_sheets,3
goals_conceded,13
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,1
red_cards,0
saves,0
bonus,4
bps,121
influence,171.0
creativity,115.9
threat,374.0
ict_index,65.3
ea_index,0
element_type,4
team,18
