id,225
photo,172632.jpg
web_name,Gray
team_code,13
status,a
code,172632
first_name,Demarai
second_name,Gray
squad_number,7
news,
now_cost,54
news_added,2018-10-27T15:31:14Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.4
value_season,12.8
cost_change_start,-1
cost_change_event,0
cost_change_start_fall,1
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,1.1
form,2.4
transfers_out,210890
transfers_in,196997
transfers_out_event,107
transfers_in_event,793
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,69
event_points,0
points_per_game,2.8
ep_this,2.4
ep_next,2.9
special,False
minutes,1537
goals_scored,4
assists,1
clean_sheets,5
goals_conceded,23
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,2
red_cards,0
saves,0
bonus,3
bps,200
influence,292.4
creativity,241.1
threat,508.0
ict_index,103.9
ea_index,0
element_type,3
team,11
