id,59
photo,60307.jpg
web_name,Groß
team_code,36
status,i
code,60307
first_name,Pascal
second_name,Groß
squad_number,13
news,Hamstring injury - Unknown return date
now_cost,67
news_added,2019-02-26T22:31:20Z
chance_of_playing_this_round,0
chance_of_playing_next_round,0
value_form,0.3
value_season,8.7
cost_change_start,-3
cost_change_event,0
cost_change_start_fall,3
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,1
selected_by_percent,1.6
form,2.3
transfers_out,365533
transfers_in,78169
transfers_out_event,669
transfers_in_event,5
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,58
event_points,0
points_per_game,3.1
ep_this,0.0
ep_next,0.0
special,False
minutes,1361
goals_scored,2
assists,2
clean_sheets,2
goals_conceded,22
own_goals,0
penalties_saved,0
penalties_missed,1
yellow_cards,0
red_cards,0
saves,0
bonus,9
bps,263
influence,327.0
creativity,645.5
threat,290.0
ict_index,126.4
ea_index,0
element_type,3
team,3
