id,76
photo,60586.jpg
web_name,Gudmundsson
team_code,90
status,a
code,60586
first_name,Johann Berg
second_name,Gudmundsson
squad_number,7
news,
now_cost,55
news_added,2019-01-10T16:01:17Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.3
value_season,13.5
cost_change_start,-5
cost_change_event,0
cost_change_start_fall,5
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,1
selected_by_percent,1.1
form,1.6
transfers_out,384726
transfers_in,328820
transfers_out_event,120
transfers_in_event,53
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,74
event_points,1
points_per_game,3.4
ep_this,2.1
ep_next,0.6
special,False
minutes,1535
goals_scored,2
assists,6
clean_sheets,5
goals_conceded,34
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,2
red_cards,0
saves,0
bonus,5
bps,283
influence,373.2
creativity,524.2
threat,325.0
ict_index,122.4
ea_index,0
element_type,3
team,4
