id,168
photo,80801.jpg
web_name,Gueye
team_code,11
status,a
code,80801
first_name,Idrissa
second_name,Gueye
squad_number,17
news,
now_cost,47
news_added,2019-01-29T22:01:21Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.4
value_season,10.4
cost_change_start,-3
cost_change_event,0
cost_change_start_fall,3
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,0.3
form,2.0
transfers_out,28300
transfers_in,10599
transfers_out_event,24
transfers_in_event,42
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,49
event_points,0
points_per_game,2.1
ep_this,1.0
ep_next,2.0
special,False
minutes,1962
goals_scored,0
assists,1
clean_sheets,6
goals_conceded,25
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,5
red_cards,0
saves,0
bonus,0
bps,309
influence,438.6
creativity,202.1
threat,68.0
ict_index,70.9
ea_index,0
element_type,3
team,8
