id,452
photo,107265.jpg
web_name,Gunn
team_code,20
status,a
code,107265
first_name,Angus
second_name,Gunn
squad_number,28
news,
now_cost,43
news_added,None
chance_of_playing_this_round,None
chance_of_playing_next_round,None
value_form,0.8
value_season,6.5
cost_change_start,-2
cost_change_event,0
cost_change_start_fall,2
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,2
selected_by_percent,0.2
form,3.4
transfers_out,16732
transfers_in,16267
transfers_out_event,27
transfers_in_event,320
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,28
event_points,8
points_per_game,7.0
ep_this,2.4
ep_next,1.9
special,False
minutes,360
goals_scored,0
assists,0
clean_sheets,2
goals_conceded,5
own_goals,0
penalties_saved,1
penalties_missed,0
yellow_cards,0
red_cards,0
saves,16
bonus,4
bps,101
influence,138.4
creativity,0.0
threat,0.0
ict_index,13.8
ea_index,0
element_type,1
team,16
