id,102
photo,49845.jpg
web_name,Gunnarsson
team_code,97
status,a
code,49845
first_name,Aron
second_name,Gunnarsson
squad_number,17
news,
now_cost,44
news_added,2018-10-20T16:31:16Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.5
value_season,11.4
cost_change_start,-1
cost_change_event,0
cost_change_start_fall,1
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,1
selected_by_percent,0.8
form,2.4
transfers_out,105339
transfers_in,85323
transfers_out_event,207
transfers_in_event,105
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,50
event_points,2
points_per_game,2.6
ep_this,1.9
ep_next,1.9
special,False
minutes,1539
goals_scored,1
assists,1
clean_sheets,5
goals_conceded,28
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,3
red_cards,0
saves,0
bonus,3
bps,205
influence,277.2
creativity,152.9
threat,163.0
ict_index,59.3
ea_index,0
element_type,3
team,5
