id,190
photo,38038.jpg
web_name,Hamer
team_code,38
status,a
code,38038
first_name,Ben
second_name,Hamer
squad_number,12
news,
now_cost,40
news_added,2018-09-14T13:01:14Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.1
value_season,1.3
cost_change_start,0
cost_change_event,0
cost_change_start_fall,0
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,5.9
form,0.2
transfers_out,356084
transfers_in,489134
transfers_out_event,560
transfers_in_event,36
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,5
event_points,0
points_per_game,1.3
ep_this,0.2
ep_next,-0.3
special,False
minutes,282
goals_scored,0
assists,0
clean_sheets,0
goals_conceded,11
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,0
red_cards,0
saves,13
bonus,0
bps,50
influence,97.8
creativity,0.0
threat,0.0
ict_index,9.7
ea_index,0
element_type,1
team,10
