id,535
photo,78911.jpg
web_name,Harris
team_code,97
status,a
code,78911
first_name,Kadeem
second_name,Harris
squad_number,23
news,
now_cost,45
news_added,2019-01-06T17:01:16Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.0
value_season,5.1
cost_change_start,0
cost_change_event,0
cost_change_start_fall,0
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,0.0
form,0.0
transfers_out,2387
transfers_in,2785
transfers_out_event,3
transfers_in_event,2
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,23
event_points,0
points_per_game,1.9
ep_this,-0.5
ep_next,-0.5
special,False
minutes,355
goals_scored,1
assists,1
clean_sheets,1
goals_conceded,6
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,1
red_cards,0
saves,0
bonus,0
bps,77
influence,85.2
creativity,87.7
threat,87.0
ict_index,26.0
ea_index,0
element_type,3
team,5
