id,122
photo,42786.jpg
web_name,Hazard
team_code,8
status,a
code,42786
first_name,Eden
second_name,Hazard
squad_number,10
news,
now_cost,108
news_added,2018-12-16T16:31:16Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.4
value_season,15.4
cost_change_start,3
cost_change_event,0
cost_change_start_fall,-3
cost_change_event_fall,0
in_dreamteam,True
dreamteam_count,6
selected_by_percent,25.5
form,4.5
transfers_out,3073080
transfers_in,3699488
transfers_out_event,2771
transfers_in_event,5718
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,166
event_points,0
points_per_game,6.4
ep_this,5.5
ep_next,5.0
special,False
minutes,2074
goals_scored,12
assists,10
clean_sheets,9
goals_conceded,26
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,2
red_cards,0
saves,0
bonus,21
bps,599
influence,907.6
creativity,1003.6
threat,1064.0
ict_index,297.9
ea_index,0
element_type,3
team,6
