id,67
photo,21205.jpg
web_name,Heaton
team_code,90
status,a
code,21205
first_name,Tom
second_name,Heaton
squad_number,1
news,
now_cost,48
news_added,2018-08-12T12:31:12Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.5
value_season,7.1
cost_change_start,-2
cost_change_event,0
cost_change_start_fall,2
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,0.6
form,2.2
transfers_out,19928
transfers_in,45822
transfers_out_event,311
transfers_in_event,91
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,34
event_points,1
points_per_game,3.4
ep_this,2.7
ep_next,1.2
special,False
minutes,900
goals_scored,0
assists,0
clean_sheets,2
goals_conceded,12
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,1
red_cards,0
saves,36
bonus,3
bps,179
influence,253.4
creativity,20.0
threat,0.0
ict_index,27.3
ea_index,0
element_type,1
team,4
