id,249
photo,56979.jpg
web_name,Henderson
team_code,14
status,a
code,56979
first_name,Jordan
second_name,Henderson
squad_number,14
news,
now_cost,53
news_added,2019-02-04T22:01:20Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.2
value_season,7.5
cost_change_start,-2
cost_change_event,0
cost_change_start_fall,2
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,0.6
form,0.8
transfers_out,56074
transfers_in,14893
transfers_out_event,26
transfers_in_event,29
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,40
event_points,0
points_per_game,1.7
ep_this,1.8
ep_next,1.8
special,False
minutes,1321
goals_scored,0
assists,0
clean_sheets,7
goals_conceded,10
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,0
red_cards,1
saves,0
bonus,0
bps,257
influence,204.2
creativity,193.0
threat,51.0
ict_index,45.1
ea_index,0
element_type,3
team,12
