id,78
photo,83314.jpg
web_name,Hendrick
team_code,90
status,a
code,83314
first_name,Jeff
second_name,Hendrick
squad_number,13
news,
now_cost,52
news_added,None
chance_of_playing_this_round,None
chance_of_playing_next_round,None
value_form,0.3
value_season,10.0
cost_change_start,-3
cost_change_event,0
cost_change_start_fall,3
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,1
selected_by_percent,0.2
form,1.4
transfers_out,15619
transfers_in,11848
transfers_out_event,21
transfers_in_event,5
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,52
event_points,1
points_per_game,2.2
ep_this,1.9
ep_next,0.4
special,False
minutes,1463
goals_scored,1
assists,2
clean_sheets,2
goals_conceded,35
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,3
red_cards,0
saves,0
bonus,3
bps,181
influence,157.0
creativity,147.3
threat,229.0
ict_index,53.4
ea_index,0
element_type,3
team,4
