id,135
photo,20066.jpg
web_name,Hennessey
team_code,31
status,a
code,20066
first_name,Wayne
second_name,Hennessey
squad_number,13
news,
now_cost,45
news_added,2019-01-16T10:01:19Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.1
value_season,14.9
cost_change_start,0
cost_change_event,0
cost_change_start_fall,0
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,1
selected_by_percent,2.8
form,0.6
transfers_out,487749
transfers_in,515984
transfers_out_event,185
transfers_in_event,348
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,67
event_points,3
points_per_game,3.7
ep_this,0.1
ep_next,0.6
special,False
minutes,1575
goals_scored,0
assists,0
clean_sheets,5
goals_conceded,26
own_goals,0
penalties_saved,1
penalties_missed,0
yellow_cards,0
red_cards,0
saves,44
bonus,6
bps,311
influence,358.8
creativity,0.0
threat,0.0
ict_index,35.9
ea_index,0
element_type,1
team,7
