id,419
photo,43020.jpg
web_name,Chicharito
team_code,21
status,a
code,43020
first_name,Javier
second_name,Hernández Balcázar
squad_number,17
news,
now_cost,61
news_added,2018-12-24T16:01:16Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.6
value_season,11.3
cost_change_start,-4
cost_change_event,0
cost_change_start_fall,4
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,1
selected_by_percent,1.5
form,3.4
transfers_out,571939
transfers_in,506202
transfers_out_event,227
transfers_in_event,1070
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,69
event_points,5
points_per_game,3.5
ep_this,3.4
ep_next,3.9
special,False
minutes,1029
goals_scored,5
assists,4
clean_sheets,6
goals_conceded,15
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,1
red_cards,0
saves,0
bonus,7
bps,211
influence,225.6
creativity,93.7
threat,486.0
ict_index,79.9
ea_index,0
element_type,4
team,19
