id,579
photo,40232.jpg
web_name,Higuaín
team_code,8
status,a
code,40232
first_name,Gonzalo
second_name,Higuaín
squad_number,9
news,
now_cost,95
news_added,None
chance_of_playing_this_round,None
chance_of_playing_next_round,None
value_form,0.5
value_season,2.0
cost_change_start,0
cost_change_event,0
cost_change_start_fall,0
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,1
selected_by_percent,3.7
form,4.3
transfers_out,160168
transfers_in,382385
transfers_out_event,2187
transfers_in_event,3354
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,19
event_points,0
points_per_game,4.8
ep_this,5.3
ep_next,4.8
special,False
minutes,327
goals_scored,2
assists,0
clean_sheets,2
goals_conceded,8
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,0
red_cards,0
saves,0
bonus,3
bps,71
influence,85.2
creativity,69.9
threat,158.0
ict_index,31.3
ea_index,0
element_type,4
team,6
