id,336
photo,167075.jpg
web_name,Hoedt
team_code,20
status,u
code,167075
first_name,Wesley
second_name,Hoedt
squad_number,6
news,Season-long loan to Celta Vigo
now_cost,42
news_added,2019-01-22T11:01:19Z
chance_of_playing_this_round,0
chance_of_playing_next_round,0
value_form,0.0
value_season,6.9
cost_change_start,-3
cost_change_event,0
cost_change_start_fall,3
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,0.2
form,0.0
transfers_out,28425
transfers_in,14002
transfers_out_event,21
transfers_in_event,0
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,29
event_points,0
points_per_game,2.2
ep_this,0.0
ep_next,0.0
special,False
minutes,1170
goals_scored,0
assists,0
clean_sheets,4
goals_conceded,24
own_goals,2
penalties_saved,0
penalties_missed,0
yellow_cards,2
red_cards,0
saves,0
bonus,3
bps,206
influence,283.6
creativity,20.0
threat,41.0
ict_index,34.7
ea_index,0
element_type,2
team,16
