id,201
photo,79619.jpg
web_name,Hogg
team_code,38
status,d
code,79619
first_name,Jonathan
second_name,Hogg
squad_number,6
news,Knock - 75% chance of playing
now_cost,44
news_added,2019-03-02T17:31:20Z
chance_of_playing_this_round,100
chance_of_playing_next_round,75
value_form,0.3
value_season,10.0
cost_change_start,-1
cost_change_event,0
cost_change_start_fall,1
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,0.3
form,1.4
transfers_out,37880
transfers_in,35567
transfers_out_event,42
transfers_in_event,12
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,44
event_points,1
points_per_game,2.0
ep_this,1.4
ep_next,0.7
special,False
minutes,1799
goals_scored,0
assists,1
clean_sheets,5
goals_conceded,27
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,5
red_cards,1
saves,0
bonus,3
bps,278
influence,307.0
creativity,220.1
threat,41.0
ict_index,56.9
ea_index,0
element_type,3
team,10
