id,378
photo,40868.jpg
web_name,Holebas
team_code,57
status,a
code,40868
first_name,José
second_name,Holebas
squad_number,25
news,
now_cost,48
news_added,2019-02-09T17:31:22Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.5
value_season,19.4
cost_change_start,3
cost_change_event,0
cost_change_start_fall,-3
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,2
selected_by_percent,10.8
form,2.6
transfers_out,1403191
transfers_in,1788388
transfers_out_event,1694
transfers_in_event,1060
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,93
event_points,0
points_per_game,4.0
ep_this,2.6
ep_next,1.6
special,False
minutes,1985
goals_scored,3
assists,7
clean_sheets,5
goals_conceded,30
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,10
red_cards,0
saves,0
bonus,10
bps,406
influence,570.2
creativity,503.3
threat,127.0
ict_index,120.3
ea_index,0
element_type,2
team,18
