id,340
photo,132015.jpg
web_name,Højbjerg
team_code,20
status,a
code,132015
first_name,Pierre-Emile
second_name,Højbjerg
squad_number,23
news,
now_cost,44
news_added,2019-01-31T11:31:19Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.4
value_season,13.0
cost_change_start,-1
cost_change_event,0
cost_change_start_fall,1
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,1
selected_by_percent,2.5
form,1.8
transfers_out,407799
transfers_in,507236
transfers_out_event,410
transfers_in_event,446
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,57
event_points,2
points_per_game,2.6
ep_this,0.8
ep_next,0.3
special,False
minutes,1950
goals_scored,3
assists,1
clean_sheets,3
goals_conceded,43
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,6
red_cards,2
saves,0
bonus,4
bps,322
influence,436.0
creativity,332.3
threat,323.0
ict_index,109.6
ea_index,0
element_type,3
team,16
