id,38
photo,103912.jpg
web_name,Ibe
team_code,91
status,a
code,103912
first_name,Jordon
second_name,Ibe
squad_number,10
news,
now_cost,50
news_added,None
chance_of_playing_this_round,None
chance_of_playing_next_round,None
value_form,0.2
value_season,4.4
cost_change_start,-5
cost_change_event,0
cost_change_start_fall,5
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,0.2
form,1.2
transfers_out,25853
transfers_in,4456
transfers_out_event,16
transfers_in_event,9
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,22
event_points,1
points_per_game,1.4
ep_this,0.2
ep_next,1.7
special,False
minutes,570
goals_scored,0
assists,1
clean_sheets,0
goals_conceded,18
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,0
red_cards,0
saves,0
bonus,0
bps,70
influence,72.8
creativity,149.9
threat,116.0
ict_index,33.8
ea_index,0
element_type,3
team,2
