id,228
photo,54513.jpg
web_name,Iborra
team_code,13
status,u
code,54513
first_name,Vicente
second_name,Iborra
squad_number,21
news,Joined Villarreal in a permanent move
now_cost,47
news_added,2019-01-07T16:01:16Z
chance_of_playing_this_round,0
chance_of_playing_next_round,0
value_form,0.0
value_season,1.9
cost_change_start,-3
cost_change_event,0
cost_change_start_fall,3
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,0.0
form,0.0
transfers_out,4100
transfers_in,1234
transfers_out_event,2
transfers_in_event,0
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,9
event_points,0
points_per_game,1.1
ep_this,0.0
ep_next,0.0
special,False
minutes,224
goals_scored,0
assists,0
clean_sheets,0
goals_conceded,4
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,0
red_cards,0
saves,0
bonus,0
bps,31
influence,26.8
creativity,27.8
threat,25.0
ict_index,8.0
ea_index,0
element_type,3
team,11
