id,236
photo,173515.jpg
web_name,Iheanacho
team_code,13
status,a
code,173515
first_name,Kelechi
second_name,Iheanacho
squad_number,8
news,
now_cost,57
news_added,None
chance_of_playing_this_round,None
chance_of_playing_next_round,None
value_form,0.1
value_season,9.3
cost_change_start,-3
cost_change_event,0
cost_change_start_fall,3
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,1
selected_by_percent,0.9
form,0.8
transfers_out,192096
transfers_in,163047
transfers_out_event,69
transfers_in_event,52
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,53
event_points,0
points_per_game,2.2
ep_this,0.8
ep_next,1.3
special,False
minutes,881
goals_scored,1
assists,5
clean_sheets,1
goals_conceded,15
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,1
red_cards,0
saves,0
bonus,3
bps,150
influence,131.4
creativity,206.3
threat,206.0
ict_index,53.8
ea_index,0
element_type,4
team,11
