id,15
photo,153133.jpg
web_name,Iwobi
team_code,3
status,a
code,153133
first_name,Alex
second_name,Iwobi
squad_number,17
news,
now_cost,54
news_added,2019-02-24T17:31:21Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.7
value_season,14.1
cost_change_start,-1
cost_change_event,0
cost_change_start_fall,1
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,1.8
form,3.8
transfers_out,243667
transfers_in,277613
transfers_out_event,772
transfers_in_event,805
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,76
event_points,2
points_per_game,2.9
ep_this,3.3
ep_next,3.8
special,False
minutes,1519
goals_scored,3
assists,6
clean_sheets,2
goals_conceded,26
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,0
red_cards,0
saves,0
bonus,1
bps,293
influence,348.2
creativity,395.7
threat,449.0
ict_index,119.2
ea_index,0
element_type,3
team,1
