id,285
photo,76359.jpg
web_name,Jones
team_code,1
status,d
code,76359
first_name,Phil
second_name,Jones
squad_number,4
news,Illness - 75% chance of playing
now_cost,51
news_added,2019-02-26T13:01:20Z
chance_of_playing_this_round,75
chance_of_playing_next_round,75
value_form,0.5
value_season,7.1
cost_change_start,-4
cost_change_event,0
cost_change_start_fall,4
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,1
selected_by_percent,0.6
form,2.4
transfers_out,163595
transfers_in,20857
transfers_out_event,269
transfers_in_event,4
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,36
event_points,0
points_per_game,3.0
ep_this,2.5
ep_next,1.8
special,False
minutes,876
goals_scored,0
assists,1
clean_sheets,3
goals_conceded,10
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,0
red_cards,0
saves,0
bonus,3
bps,197
influence,196.0
creativity,29.4
threat,35.0
ict_index,26.2
ea_index,0
element_type,2
team,14
