id,195
photo,48760.jpg
web_name,Zanka
team_code,38
status,a
code,48760
first_name,Mathias
second_name,Jorgensen
squad_number,25
news,
now_cost,44
news_added,2018-11-10T19:01:15Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.1
value_season,15.0
cost_change_start,-1
cost_change_event,0
cost_change_start_fall,1
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,2.9
form,0.4
transfers_out,396614
transfers_in,82564
transfers_out_event,457
transfers_in_event,19
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,66
event_points,0
points_per_game,2.9
ep_this,0.4
ep_next,-0.1
special,False
minutes,2057
goals_scored,3
assists,1
clean_sheets,3
goals_conceded,36
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,6
red_cards,0
saves,0
bonus,4
bps,385
influence,521.0
creativity,101.9
threat,159.0
ict_index,78.4
ea_index,0
element_type,2
team,10
