id,432
photo,194634.jpg
web_name,Jota
team_code,39
status,a
code,194634
first_name,Diogo
second_name,Jota
squad_number,18
news,
now_cost,61
news_added,2019-02-17T13:31:20Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.7
value_season,15.6
cost_change_start,-4
cost_change_event,0
cost_change_start_fall,4
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,2
selected_by_percent,3.6
form,4.2
transfers_out,426251
transfers_in,314961
transfers_out_event,2216
transfers_in_event,3671
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,95
event_points,11
points_per_game,4.0
ep_this,4.7
ep_next,3.7
special,False
minutes,1586
goals_scored,6
assists,6
clean_sheets,6
goals_conceded,20
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,7
red_cards,0
saves,0
bonus,8
bps,282
influence,376.6
creativity,303.1
threat,576.0
ict_index,125.6
ea_index,0
element_type,3
team,20
