id,57
photo,38490.jpg
web_name,Kayal
team_code,36
status,a
code,38490
first_name,Beram
second_name,Kayal
squad_number,7
news,
now_cost,44
news_added,None
chance_of_playing_this_round,None
chance_of_playing_next_round,None
value_form,0.1
value_season,6.4
cost_change_start,-1
cost_change_event,0
cost_change_start_fall,1
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,0.4
form,0.3
transfers_out,77143
transfers_in,89037
transfers_out_event,44
transfers_in_event,2
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,28
event_points,1
points_per_game,2.2
ep_this,0.3
ep_next,0.3
special,False
minutes,712
goals_scored,1
assists,1
clean_sheets,3
goals_conceded,11
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,4
red_cards,0
saves,0
bonus,0
bps,117
influence,189.4
creativity,53.7
threat,49.0
ict_index,29.3
ea_index,0
element_type,3
team,3
