id,162
photo,106611.jpg
web_name,Keane
team_code,11
status,a
code,106611
first_name,Michael
second_name,Keane
squad_number,4
news,
now_cost,48
news_added,2018-09-23T14:31:13Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.4
value_season,18.4
cost_change_start,-2
cost_change_event,-1
cost_change_start_fall,2
cost_change_event_fall,1
in_dreamteam,False
dreamteam_count,3
selected_by_percent,3.7
form,1.8
transfers_out,428039
transfers_in,485952
transfers_out_event,592
transfers_in_event,392
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,90
event_points,0
points_per_game,3.6
ep_this,0.8
ep_next,1.8
special,False
minutes,2250
goals_scored,1
assists,2
clean_sheets,7
goals_conceded,34
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,2
red_cards,0
saves,0
bonus,14
bps,455
influence,567.8
creativity,78.7
threat,268.0
ict_index,91.8
ea_index,0
element_type,2
team,8
