id,324
photo,76542.jpg
web_name,Ki Sung-yueng
team_code,4
status,a
code,76542
first_name,Sung-yueng
second_name,Ki
squad_number,4
news,
now_cost,47
news_added,2018-12-23T02:01:19Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.0
value_season,5.3
cost_change_start,-3
cost_change_event,0
cost_change_start_fall,3
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,0.1
form,0.0
transfers_out,13225
transfers_in,3886
transfers_out_event,2
transfers_in_event,4
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,25
event_points,0
points_per_game,2.3
ep_this,0.0
ep_next,0.0
special,False
minutes,844
goals_scored,0
assists,1
clean_sheets,2
goals_conceded,12
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,1
red_cards,0
saves,0
bonus,1
bps,139
influence,123.8
creativity,212.5
threat,25.0
ict_index,36.1
ea_index,0
element_type,3
team,15
