id,8
photo,111457.jpg
web_name,Kolasinac
team_code,3
status,a
code,111457
first_name,Sead
second_name,Kolasinac
squad_number,31
news,
now_cost,51
news_added,2018-12-22T12:31:16Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.6
value_season,12.9
cost_change_start,1
cost_change_event,0
cost_change_start_fall,-1
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,1
selected_by_percent,6.7
form,3.0
transfers_out,350318
transfers_in,709316
transfers_out_event,4879
transfers_in_event,349
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,66
event_points,0
points_per_game,3.9
ep_this,2.5
ep_next,3.0
special,False
minutes,1436
goals_scored,0
assists,7
clean_sheets,3
goals_conceded,22
own_goals,1
penalties_saved,0
penalties_missed,0
yellow_cards,3
red_cards,0
saves,0
bonus,10
bps,321
influence,277.4
creativity,378.1
threat,203.0
ict_index,85.7
ea_index,0
element_type,2
team,1
