id,198
photo,109434.jpg
web_name,Kongolo
team_code,38
status,a
code,109434
first_name,Terence
second_name,Kongolo
squad_number,5
news,
now_cost,43
news_added,2018-12-15T14:01:16Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.5
value_season,11.9
cost_change_start,-2
cost_change_event,0
cost_change_start_fall,2
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,1
selected_by_percent,0.2
form,2.0
transfers_out,22867
transfers_in,20216
transfers_out_event,25
transfers_in_event,14
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,51
event_points,2
points_per_game,2.1
ep_this,2.0
ep_next,1.5
special,False
minutes,1996
goals_scored,1
assists,0
clean_sheets,4
goals_conceded,42
own_goals,1
penalties_saved,0
penalties_missed,0
yellow_cards,3
red_cards,0
saves,0
bonus,3
bps,315
influence,383.4
creativity,119.6
threat,115.0
ict_index,61.8
ea_index,0
element_type,2
team,10
