id,412
photo,55037.jpg
web_name,Kouyaté
team_code,31
status,a
code,55037
first_name,Cheikhou
second_name,Kouyaté
squad_number,8
news,
now_cost,47
news_added,2019-01-30T23:01:18Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.3
value_season,11.9
cost_change_start,-3
cost_change_event,0
cost_change_start_fall,3
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,0.2
form,1.4
transfers_out,30250
transfers_in,12861
transfers_out_event,15
transfers_in_event,112
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,56
event_points,5
points_per_game,2.3
ep_this,0.9
ep_next,1.4
special,False
minutes,1542
goals_scored,0
assists,3
clean_sheets,8
goals_conceded,24
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,2
red_cards,0
saves,0
bonus,0
bps,203
influence,262.2
creativity,193.9
threat,172.0
ict_index,62.6
ea_index,0
element_type,3
team,7
