id,363
photo,62974.jpg
web_name,Lamela
team_code,6
status,a
code,62974
first_name,Erik
second_name,Lamela
squad_number,11
news,
now_cost,59
news_added,2019-02-10T16:01:21Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.2
value_season,9.7
cost_change_start,-6
cost_change_event,-1
cost_change_start_fall,6
cost_change_event_fall,1
in_dreamteam,False
dreamteam_count,0
selected_by_percent,0.4
form,1.0
transfers_out,189664
transfers_in,195764
transfers_out_event,130
transfers_in_event,48
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,58
event_points,0
points_per_game,3.2
ep_this,1.5
ep_next,2.5
special,False
minutes,889
goals_scored,4
assists,2
clean_sheets,4
goals_conceded,10
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,2
red_cards,0
saves,0
bonus,4
bps,201
influence,254.6
creativity,302.5
threat,435.0
ict_index,98.8
ea_index,0
element_type,3
team,17
