id,414
photo,86934.jpg
web_name,Lanzini
team_code,21
status,a
code,86934
first_name,Manuel
second_name,Lanzini
squad_number,10
news,
now_cost,64
news_added,2018-07-05T14:31:07Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.1
value_season,0.6
cost_change_start,-1
cost_change_event,0
cost_change_start_fall,1
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,0.1
form,0.8
transfers_out,2778
transfers_in,5117
transfers_out_event,31
transfers_in_event,641
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,4
event_points,3
points_per_game,1.3
ep_this,0.8
ep_next,1.3
special,False
minutes,149
goals_scored,0
assists,0
clean_sheets,1
goals_conceded,1
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,1
red_cards,0
saves,0
bonus,0
bps,18
influence,19.0
creativity,18.2
threat,51.0
ict_index,8.8
ea_index,0
element_type,3
team,19
