id,268
photo,146941.jpg
web_name,Laporte
team_code,43
status,i
code,146941
first_name,Aymeric
second_name,Laporte
squad_number,14
news,Muscle injury - Expected back 30 Mar
now_cost,59
news_added,2019-02-24T20:01:23Z
chance_of_playing_this_round,0
chance_of_playing_next_round,0
value_form,0.9
value_season,19.2
cost_change_start,4
cost_change_event,0
cost_change_start_fall,-4
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,1
selected_by_percent,8.3
form,5.2
transfers_out,1264209
transfers_in,1582984
transfers_out_event,11761
transfers_in_event,162
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,113
event_points,0
points_per_game,4.2
ep_this,0.0
ep_next,0.0
special,False
minutes,2336
goals_scored,2
assists,1
clean_sheets,12
goals_conceded,19
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,3
red_cards,0
saves,0
bonus,4
bps,538
influence,559.0
creativity,164.2
threat,196.0
ict_index,92.2
ea_index,0
element_type,2
team,13
