id,455
photo,61739.jpg
web_name,Le Marchand
team_code,54
status,a
code,61739
first_name,Maxime
second_name,Le Marchand
squad_number,20
news,
now_cost,42
news_added,2018-12-22T14:01:17Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.0
value_season,4.8
cost_change_start,-3
cost_change_event,0
cost_change_start_fall,3
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,0.1
form,0.2
transfers_out,18694
transfers_in,8289
transfers_out_event,11
transfers_in_event,3
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,20
event_points,0
points_per_game,1.1
ep_this,-0.8
ep_next,-0.3
special,False
minutes,1620
goals_scored,0
assists,1
clean_sheets,0
goals_conceded,42
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,2
red_cards,0
saves,0
bonus,1
bps,278
influence,430.0
creativity,116.0
threat,73.0
ict_index,62.2
ea_index,0
element_type,2
team,9
